time(s),0.0Hz,0.25Hz,0.5Hz,0.75Hz,1.0Hz,1.25Hz,1.5Hz,1.75Hz,2.0Hz
0.04,118.6362,118.6543,118.7085,118.7986,118.924,119.084,119.2778,119.5044,119.7624
0.0402,112.6385,112.6582,112.7174,112.8155,112.9522,113.1268,113.3382,113.5853,113.867
0.0404,106.1963,106.2176,106.2815,106.3875,106.5352,106.7238,106.9523,107.2194,107.5239
0.0406,99.335,99.3578,99.4263,99.5399,99.6982,99.9003,100.1452,100.4317,100.7583
0.0408,92.0817,92.106,92.1788,92.2997,92.4681,92.6832,92.9439,93.2488,93.5965
0.041,84.4649,84.4906,84.5676,84.6954,84.8735,85.101,85.3766,85.6991,86.0669
0.0412,76.5148,76.5419,76.6227,76.7571,76.9443,77.1834,77.4732,77.8123,78.1991
0.0414,68.2628,68.291,68.3756,68.5161,68.7118,68.9617,69.2648,69.6194,70.0239
0.0416,59.7413,59.7707,59.8587,60.0048,60.2083,60.4684,60.7836,61.1526,61.5736
0.0418,50.9841,51.0145,51.1056,51.2568,51.4676,51.7368,52.0632,52.4453,52.8812
0.042,42.0257,42.057,42.1508,42.3067,42.5239,42.8014,43.1379,43.5317,43.9811
0.0422,32.9014,32.9335,33.0298,33.1897,33.4126,33.6974,34.0427,34.4469,34.9082
0.0424,23.6472,23.6801,23.7785,23.9419,24.1696,24.4606,24.8135,25.2267,25.6982
0.0426,14.2998,14.3332,14.4333,14.5996,14.8314,15.1275,15.4867,15.9073,16.3872
0.0428,4.8959,4.9298,5.0312,5.1998,5.4347,5.7349,6.099,6.5253,7.0119
0.043,-4.5273,-4.4931,-4.3907,-4.2206,-3.9834,-3.6803,-3.3127,-2.8822,-2.3908
0.0432,-13.9327,-13.8983,-13.7953,-13.6243,-13.3858,-13.081,-12.7113,-12.2784,-11.7841
0.0434,-23.2831,-23.2486,-23.1455,-22.9742,-22.7354,-22.4301,-22.0599,-21.6262,-21.131
0.0436,-32.5415,-32.5072,-32.4044,-32.2335,-31.9953,-31.6908,-31.3215,-30.8888,-30.3948
0.0438,-41.6716,-41.6375,-41.5354,-41.3656,-41.1291,-40.8266,-40.4597,-40.0299,-39.539
0.044,-50.6372,-50.6035,-50.5025,-50.3346,-50.1007,-49.8016,-49.4386,-49.0134,-48.5278
0.0442,-59.4029,-59.3698,-59.2703,-59.1051,-58.8748,-58.5803,-58.2229,-57.8041,-57.3257
0.0444,-67.9343,-67.9017,-67.8043,-67.6424,-67.4167,-67.1281,-66.7778,-66.3673,-65.8984
0.0446,-76.1975,-76.1658,-76.0708,-75.913,-75.6929,-75.4115,-75.0698,-74.6694,-74.2119
0.0448,-84.16,-84.1292,-84.0371,-83.8841,-83.6706,-83.3977,-83.0663,-82.6778,-82.2338
0.045,-91.7903,-91.7607,-91.6719,-91.5243,-91.3185,-91.0553,-90.7356,-90.3609,-89.9324
0.0452,-99.0584,-99.03,-98.945,-98.8036,-98.6064,-98.3541,-98.0478,-97.6885,-97.2776
0.0454,-105.9356,-105.9086,-105.8277,-105.6932,-105.5056,-105.2655,-104.9739,-104.6318,-104.2405
0.0456,-112.3947,-112.3692,-112.2928,-112.1659,-111.9888,-111.7621,-111.4867,-111.1635,-110.7936
0.0458,-118.4102,-118.3863,-118.3149,-118.1962,-118.0305,-117.8184,-117.5606,-117.2579,-116.9114
0.046,-123.9584,-123.9363,-123.8703,-123.7604,-123.607,-123.4105,-123.1716,-122.8911,-122.5697
0.0462,-129.0174,-128.9972,-128.9368,-128.8364,-128.6961,-128.5164,-128.2978,-128.0409,-127.7464
