time(s),300sample,320sample,340sample,360sample,380sample,400sample
0.0472,-142.3314,-142.3314,-142.3314,-142.3314,-142.3314,-142.3314
0.0474,-145.0235,-145.0235,-145.0235,-145.0235,-145.0235,-145.0235
0.0476,-147.1433,-147.1433,-147.1433,-147.1433,-147.1433,-147.1433
0.0478,-148.6823,-148.6823,-148.6823,-148.6823,-148.6823,-148.6823
0.048,-149.6346,-149.6346,-149.6346,-149.6346,-149.6346,-149.6346
0.0482,-149.9963,-149.9963,-149.9963,-149.9963,-149.9963,-149.9963
0.0484,-149.7661,-149.7661,-149.7661,-149.7661,-149.7661,-149.7661
0.0486,-148.9448,-148.9448,-148.9448,-148.9448,-148.9448,-148.9448
0.0488,-147.5357,-147.5357,-147.5357,-147.5357,-147.5357,-147.5357
0.049,-145.5444,-145.5444,-145.5444,-145.5444,-145.5444,-145.5444
0.0492,-142.9786,-142.9786,-142.9786,-142.9786,-142.9786,-142.9786
0.0494,-139.8486,-139.8486,-139.8486,-139.8486,-139.8486,-139.8486
0.0496,-136.1666,-136.1666,-136.1666,-136.1666,-136.1666,-136.1666
0.0498,-131.9473,-131.9473,-131.9473,-131.9473,-131.9473,-131.9473
0.05,-127.2072,-127.2072,-127.2072,-127.2072,-127.2072,-127.2072
0.0502,-121.9651,-121.9651,-121.9651,-121.9651,-121.9651,-121.9651
0.0504,-116.2417,-116.2417,-116.2417,-116.2417,-116.2417,-116.2417
0.0506,-110.0595,-110.0595,-110.0595,-110.0595,-110.0595,-110.0595
0.0508,-103.4429,-103.4429,-103.4429,-103.4429,-103.4429,-103.4429
0.051,-96.4181,-96.4181,-96.4181,-96.4181,-96.4181,-96.4181
0.0512,-89.0128,-89.0128,-89.0128,-89.0128,-89.0128,-89.0128
0.0514,-81.2562,-81.2562,-81.2562,-81.2562,-81.2562,-81.2562
0.0516,-73.1789,-73.1789,-73.1789,-73.1789,-73.1789,-73.1789
0.0518,-64.8129,-64.8129,-64.8129,-64.8129,-64.8129,-64.8129
0.052,-56.191,-56.191,-56.191,-56.191,-56.191,-56.191
0.0522,-47.3474,-47.3474,-47.3474,-47.3474,-47.3474,-47.3474
0.0524,-38.3169,-38.3169,-38.3169,-38.3169,-38.3169,-38.3169
0.0526,-29.1352,-29.1352,-29.1352,-29.1352,-29.1352,-29.1352
0.0528,-19.8385,-19.8385,-19.8385,-19.8385,-19.8385,-19.8385
0.053,-10.4635,-10.4635,-10.4635,-10.4635,-10.4635,-10.4635
0.0532,-1.0472,-1.0472,-1.0472,-1.0472,-1.0472,-1.0472
0.0534,8.3732,8.3732,8.3732,8.3732,8.3732,8.3732
0.0536,17.7606,17.7606,17.7606,17.7606,17.7606,17.7606
0.0538,27.0779,27.0779,27.0779,27.0779,27.0779,27.0779
0.054,36.2883,36.2883,36.2883,36.2883,36.2883,36.2883
0.0542,45.3555,45.3555,45.3555,45.3555,45.3555,45.3555
0.0544,54.2437,54.2437,54.2437,54.2437,54.2437,54.2437
0.0546,62.9178,62.9178,62.9178,62.9178,62.9178,62.9178
0.0548,71.3436,71.3436,71.3436,71.3436,71.3436,71.3436
0.055,79.4879,79.4879,79.4879,79.4879,79.4879,79.4879
0.0552,87.3184,87.3184,87.3184,87.3184,87.3184,87.3184
0.0554,94.8044,94.8044,94.8044,94.8044,94.8044,94.8044
0.0556,101.9162,101.9162,101.9162,101.9162,101.9162,101.9162
0.0558,108.6258,108.6258,108.6258,108.6258,108.6258,108.6258
0.056,114.9067,114.9067,114.9067,114.9067,114.9067,114.9067
0.0562,120.7341,120.7341,120.7341,120.7341,120.7341,120.7341
0.0564,126.085,126.085,126.085,126.085,126.085,126.085
