time(s),10ms,40ms,70ms,100ms
0.1788,147.5357,149.0811,158.0317,170.1205
0.1792,142.9786,144.5086,153.4147,165.4732
0.1796,136.1666,137.6814,146.5433,158.5714
0.18,127.2072,128.7069,137.5248,149.5226
0.1804,116.2417,117.7265,126.5004,138.4679
0.1808,103.4429,104.9129,113.6432,125.5805
0.1812,89.0128,90.4682,99.155,111.062
0.1816,73.179,74.6199,83.2633,95.1401
0.182,56.191,57.6176,66.2179,78.0645
0.1824,38.3169,39.7292,48.2867,60.103
0.1828,19.8385,21.2368,29.7515,41.5376
0.1832,1.0472,2.4316,10.9037,22.6598
0.1836,-17.7606,-16.39,-7.9602,3.7657
0.184,-36.2883,-34.9313,-26.5438,-14.8479
0.1844,-54.2437,-52.9002,-44.5547,-32.8889
0.1848,-71.3436,-70.0135,-61.7099,-50.0741
0.1852,-87.3184,-86.0016,-77.7396,-66.1338
0.1856,-101.9162,-100.6124,-92.3919,-80.8162
0.186,-114.9067,-113.6159,-105.4366,-93.8909
0.1864,-126.085,-124.807,-116.6689,-105.1531
0.1868,-135.2749,-134.0096,-125.9125,-114.4265
0.1872,-142.3314,-141.0787,-133.0223,-121.5663
0.1876,-147.1433,-145.9031,-137.8872,-126.461
0.188,-149.6346,-148.4067,-140.4313,-129.0349
0.1884,-149.7661,-148.5505,-140.6153,-129.2487
0.1888,-147.5357,-146.3322,-138.437,-127.1002
0.1892,-142.9786,-141.787,-133.9317,-122.6247
0.1896,-136.1666,-134.9869,-127.1713,-115.8939
0.19,-127.2072,-126.0392,-118.2632,-107.0155
0.1904,-116.2417,-115.0853,-107.3486,-96.1305
0.1908,-103.4429,-102.2981,-94.6005,-83.4121
0.1912,-89.0128,-87.8794,-80.2208,-69.0619
0.1916,-73.1789,-72.0568,-64.437,-53.3077
0.192,-56.191,-55.08,-47.4989,-36.399
0.1924,-38.3169,-37.2169,-29.6743,-18.6039
0.1928,-19.8385,-18.7494,-11.2451,-0.2042
0.1932,-1.0472,0.031,7.4972,18.5087
0.1936,17.7606,18.828,26.2563,37.2384
0.194,36.2883,37.3451,44.7356,55.6883
0.1944,54.2437,55.29,62.6428,73.5663
0.1948,71.3436,72.3795,79.6949,90.5891
0.1952,87.3184,88.344,95.6222,106.4871
0.1956,101.9162,102.9316,110.1726,121.0083
0.196,114.9067,115.912,123.116,133.9226
0.1964,126.085,127.0803,134.2476,145.025
0.1968,135.2749,136.2603,143.391,154.1392
0.1972,142.3314,143.307,150.4012,161.1205
0.1976,147.1433,148.1091,155.1671,165.8573
0.198,149.6346,150.5909,157.6127,168.274
0.1984,149.7661,150.7129,157.6988,168.3311
0.1988,147.5357,148.473,155.4232,166.0265
0.1992,142.9786,143.9066,150.8211,161.3956
0.1996,136.1666,137.0854,143.9645,154.5101
0.2,127.2072,128.1168,134.9606,145.4775
0.2004,116.2417,117.1422,123.9509,134.439
0.2008,103.4429,104.3345,111.1082,121.5676
0.2012,89.0128,89.8956,96.6345,107.0652
0.2016,73.1789,74.0529,80.7571,91.1592
0.202,56.191,57.0562,63.726,74.0995
0.2024,38.3169,39.1735,45.8089,56.1539
0.2028,19.8385,20.6866,27.2878,37.6042
0.2032,1.0472,1.8869,8.4541,18.7421
0.2036,-17.7606,-16.9293,-10.3959,-0.1364
0.204,-36.2883,-35.4652,-28.9655,-18.7344
0.2044,-54.2437,-53.4288,-46.9626,-36.7599
0.2048,-71.3436,-70.5369,-64.1041,-53.9296
0.2052,-87.3184,-86.5197,-80.1201,-69.974
0.2056,-101.9162,-101.1254,-94.7589,-84.6409
0.206,-114.9067,-114.1237,-107.7902,-97.7004
0.2064,-126.085,-125.3099,-119.009,-108.9474
0.2068,-135.2749,-134.5075,-128.2392,-118.2057
0.2072,-142.3314,-141.5716,-135.3358,-125.3304
0.2076,-147.1433,-146.3911,-140.1876,-130.2101
0.208,-149.6346,-148.8899,-142.7185,-132.769
0.2084,-149.7661,-149.0288,-142.8895,-132.9679
0.2088,-147.5357,-146.8057,-140.6983,-130.8045
0.2092,-142.9786,-142.2559,-136.1801,-126.3142
0.2096,-136.1666,-135.4511,-129.4069,-119.5687
0.21,-127.2072,-126.4988,-120.486,-110.6756
0.2104,-116.2417,-115.5403,-109.5587,-99.776
0.2108,-103.4429,-102.7485,-96.7981,-87.043
0.2112,-89.0128,-88.3254,-82.4058,-72.6784
0.2116,-73.1789,-72.4983,-66.6096,-56.9097
0.212,-56.191,-55.5171,-49.6591,-39.9867
