time(s),0.0Hz,0.25Hz,0.5Hz,0.75Hz,1.0Hz,1.25Hz,1.5Hz,1.75Hz,2.0Hz
0.0776,149.3357,149.2349,148.9342,148.438,147.7537,146.8914,145.8638,144.6864,143.3764
0.078,156.8887,156.7818,156.4626,155.936,155.2099,154.295,153.2053,151.9569,150.5686
0.0784,162.0166,161.9051,161.5721,161.0228,160.2655,159.3115,158.1755,156.8745,155.4284
0.0788,164.6403,164.5258,164.184,163.6202,162.8429,161.8642,160.6989,159.3648,157.8825
0.0792,164.7191,164.6033,164.2579,163.6882,162.9029,161.9143,160.7375,159.3908,157.895
0.0796,162.2517,162.1366,161.7929,161.2261,160.4451,159.4619,158.292,156.9536,155.4676
0.08,157.2765,157.1637,156.8273,156.2724,155.5079,154.5458,153.4013,152.0924,150.6398
0.0804,149.8701,149.7616,149.4378,148.9039,148.1683,147.2429,146.1422,144.8839,143.4881
0.0808,140.1472,140.0448,139.739,139.2348,138.5403,137.6667,136.6281,135.4411,134.1249
0.0812,128.2581,128.1634,127.8807,127.4148,126.7732,125.9662,125.0071,123.9113,122.6967
0.0816,114.3864,114.3011,114.0466,113.627,113.0493,112.3229,111.4598,110.4741,109.3819
0.082,98.7466,98.6723,98.4504,98.0847,97.5813,96.9484,96.1966,95.3383,94.3878
0.0824,81.5805,81.5185,81.3334,81.0284,80.6085,80.0809,79.4542,78.7391,77.9474
0.0828,63.1534,63.1049,62.9603,62.7219,62.3938,61.9816,61.4922,60.9339,60.3161
0.0832,43.7501,43.7162,43.615,43.4483,43.2189,42.9308,42.5887,42.1987,41.7672
0.0836,23.6706,23.6521,23.5968,23.5057,23.3805,23.2232,23.0365,22.8237,22.5884
0.084,3.2252,3.2226,3.215,3.2025,3.1853,3.1636,3.138,3.1087,3.0764
0.0844,-17.2701,-17.2563,-17.2152,-17.1476,-17.0545,-16.9376,-16.799,-16.6412,-16.4668
0.0848,-37.4984,-37.4682,-37.3782,-37.2299,-37.0259,-36.7699,-36.4664,-36.1208,-35.7393
0.0852,-57.1471,-57.1007,-56.9621,-56.734,-56.4203,-56.0268,-55.5603,-55.0293,-54.4433
0.0856,-75.9125,-75.8502,-75.6645,-75.3586,-74.9382,-74.4108,-73.7859,-73.0748,-72.2903
0.086,-93.5045,-93.427,-93.1961,-92.8159,-92.2934,-91.6381,-90.8618,-89.9789,-89.0053
0.0864,-109.6512,-109.5595,-109.2862,-108.8363,-108.218,-107.4428,-106.5249,-105.4811,-104.3307
0.0868,-124.1029,-123.9982,-123.686,-123.1722,-122.4662,-121.5812,-120.5336,-119.3428,-118.031
0.0872,-136.6364,-136.5201,-136.1732,-135.6024,-134.8182,-133.8354,-132.6724,-131.351,-129.8958
0.0876,-147.0579,-146.9315,-146.5548,-145.9349,-145.0835,-144.0166,-142.7546,-141.3211,-139.7434
0.088,-155.2063,-155.0717,-154.6705,-154.0104,-153.1039,-151.9683,-150.6253,-149.1006,-147.4231
0.0884,-160.9556,-160.8148,-160.3949,-159.7042,-158.7559,-157.5683,-156.1642,-154.5707,-152.8183
0.0888,-164.217,-164.072,-163.6398,-162.9289,-161.953,-160.731,-159.2868,-157.6484,-155.8475
0.0892,-164.9401,-164.7931,-164.3552,-163.6348,-162.6461,-161.4084,-159.9461,-158.2878,-156.466
0.0896,-163.1137,-162.967,-162.5301,-161.8114,-160.8252,-159.591,-158.1333,-156.4808,-154.6662
0.09,-158.766,-158.622,-158.1929,-157.4872,-156.5191,-155.3078,-153.8776,-152.2569,-150.4781
0.0904,-151.9642,-151.8251,-151.4108,-150.7295,-149.795,-148.626,-147.2461,-145.6831,-143.9685
0.0908,-142.8135,-142.6817,-142.2888,-141.643,-140.7573,-139.6497,-138.3426,-136.8627,-135.24
0.0912,-131.4553,-131.3329,-130.9681,-130.3685,-129.5464,-128.5185,-127.3059,-125.9335,-124.4294
0.0916,-118.0652,-117.9543,-117.6238,-117.0807,-116.336,-115.4053,-114.3077,-113.066,-111.7058
0.092,-102.8501,-102.7526,-102.4623,-101.9851,-101.331,-100.5136,-99.5501,-98.4604,-97.2673
0.0924,-86.0452,-85.963,-85.718,-85.3153,-84.7636,-84.0742,-83.2619,-82.3436,-81.3386
0.0928,-67.9104,-67.8449,-67.6499,-67.3294,-66.8903,-66.3419,-65.6958,-64.9657,-64.1672
0.0932,-48.7258,-48.6784,-48.5373,-48.3054,-47.9878,-47.5911,-47.124,-46.5964,-46.0196
0.0936,-28.7881,-28.7598,-28.6757,-28.5376,-28.3484,-28.1122,-27.8341,-27.5201,-27.177
0.094,-8.4054,-8.397,-8.3723,-8.3316,-8.2759,-8.2064,-8.1246,-8.0323,-7.9314
0.0944,12.1073,12.0952,12.0592,12.0002,11.9193,11.8184,11.6996,11.5657,11.4195
0.0948,32.4328,32.4001,32.303,32.1434,31.925,31.6526,31.3322,30.9708,30.5766
0.0952,52.2569,52.2039,52.0461,51.7869,51.4321,50.9897,50.4696,49.8834,49.244
0.0956,71.2734,71.2005,70.9833,70.6269,70.1392,69.5312,68.8165,68.0113,67.1337
0.096,89.1881,89.0961,88.8222,88.3725,87.7573,86.9906,86.0897,85.0751,83.9699
0.0964,105.7243,105.6143,105.2869,104.7495,104.0145,103.0986,102.0229,100.8119,99.4934
0.0968,120.6262,120.4997,120.123,119.5049,118.6597,117.6068,116.3705,114.9793,113.4654
0.0972,133.6636,133.5223,133.1015,132.4111,131.4671,130.2915,128.9116,127.3596,125.6715
0.0976,144.635,144.4808,144.0217,143.2686,142.2391,140.9574,139.4535,137.7627,135.9247
0.098,153.3707,153.2058,152.7151,151.9101,150.8099,149.4406,147.8344,146.0294,144.0683
0.0984,159.7357,159.5626,159.0474,158.2023,157.0476,155.6107,153.9259,152.0335,149.9784
0.0988,163.6317,163.4529,162.9208,162.0483,160.8563,159.3734,157.6353,155.6837,153.5657
0.0992,164.9984,164.8166,164.2758,163.389,162.1778,160.6714,158.9064,156.9256,154.7769
0.0996,163.8146,163.6327,163.0915,162.2042,160.9924,159.4858,157.7212,155.7416,153.5955
0.1,160.0988,159.9196,159.3865,158.5125,157.3191,155.8359,154.0992,152.1519,150.0419
