time(s),300sample,320sample,340sample,360sample,380sample,400sample
0.1436,-43.3548,-43.3548,-43.3548,-17.7606,-17.7606,-17.7606
0.144,-61.0105,-61.0105,-61.0105,-61.0105,-36.2883,-36.2883
0.1444,-77.7041,-77.7041,-77.7041,-77.7041,-54.2437,-54.2437
0.1448,-93.1722,-93.1722,-93.1722,-93.1722,-71.3436,-71.3436
0.1452,-107.1709,-107.1709,-107.1709,-107.1709,-87.3184,-87.3184
0.1456,-119.4795,-119.4795,-119.4795,-119.4795,-101.9162,-101.9162
0.146,-129.9038,-129.9038,-129.9038,-129.9038,-114.9067,-114.9067
0.1464,-138.2795,-138.2795,-138.2795,-138.2795,-126.085,-126.085
0.1468,-144.4744,-144.4744,-144.4744,-144.4744,-135.2749,-135.2749
0.1472,-148.3908,-148.3908,-148.3908,-148.3908,-142.3314,-142.3314
0.1476,-149.9671,-149.9671,-149.9671,-149.9671,-147.1433,-147.1433
