time(s),48.0Hz,48.25Hz,48.5Hz,48.75Hz,49.0Hz,49.25Hz,49.5Hz,49.75Hz,50.0Hz,50.25Hz,50.5Hz,50.75Hz,51.0Hz,51.25Hz,51.5Hz,51.75Hz,52.0Hz
0.0236,26.5421,21.0522,15.5335,9.9933,4.4395,-1.1205,-6.6789,-12.2282,-17.7606,-23.2686,-28.7447,-34.1813,-39.5709,-44.9061,-50.1796,-55.3842,-60.5126
0.0238,17.5942,12.0142,6.4174,0.8116,-4.7953,-10.3956,-15.9813,-21.5446,-27.0779,-32.5733,-38.0232,-43.4199,-48.756,-54.0239,-59.2164,-64.3261,-69.3459
0.024,8.5823,2.932,-2.7226,-8.3732,-14.012,-19.6308,-25.2218,-30.7769,-36.2883,-41.7481,-47.1486,-52.4821,-57.741,-62.9178,-68.0053,-72.9961,-77.8831
0.0242,-0.4608,-6.161,-11.8524,-17.5266,-23.1755,-28.7909,-34.3648,-39.8889,-45.3555,-50.7565,-56.0842,-61.3308,-66.4888,-71.5508,-76.5094,-81.3574,-86.0879
0.0244,-9.5022,-15.2314,-20.9382,-26.6142,-32.2512,-37.8408,-43.3748,-48.8451,-54.2437,-59.5626,-64.794,-69.9302,-74.9637,-79.8871,-84.6932,-89.3749,-93.9253
0.0246,-18.509,-24.2457,-29.9462,-35.602,-41.2047,-46.7458,-52.2171,-57.6105,-62.9178,-68.1312,-73.2429,-78.2453,-83.1308,-87.8922,-92.5224,-97.0145,-101.3617
0.0248,-27.4486,-33.171,-38.8431,-44.4562,-50.0019,-55.4717,-60.8574,-66.1507,-71.3436,-76.4283,-81.397,-86.2422,-90.9566,-95.5329,-99.9643,-104.2439,-108.3655
0.025,-36.2883,-41.9744,-47.5957,-53.1437,-58.6097,-63.9853,-69.2623,-74.4325,-79.4879,-84.4207,-89.2234,-93.8885,-98.4089,-102.7774,-106.9876,-111.0327,-114.9067
0.0252,-44.996,-50.6234,-56.1716,-61.6317,-66.9953,-72.2539,-77.3993,-82.4234,-87.3184,-92.0767,-96.6906,-101.1531,-105.4571,-109.5959,-113.5629,-117.3521,-120.9574
0.0254,-53.54,-59.0865,-64.5389,-69.8885,-75.1269,-80.2458,-85.2369,-90.0923,-94.8044,-99.3656,-103.7686,-108.0064,-112.0723,-115.9599,-119.6629,-123.1754,-126.4918
