time(s),10ms,40ms,70ms,100ms
0.0712,-93.063,-70.406,-44.3526,-26.9328
0.0714,-85.5,-62.9544,-36.9267,-19.5
0.0716,-77.5991,-55.1644,-29.1626,-11.7291
0.0718,-69.3916,-47.0672,-21.0915,-3.6513
0.072,-60.9097,-38.6951,-12.7457,4.7011
0.0722,-52.187,-30.0818,-4.1587,13.2945
0.0724,-43.2579,-21.2615,4.6351,22.0945
0.0726,-34.1577,-12.2695,13.6003,31.0658
0.0728,-24.9223,-3.1418,22.7011,40.1726
0.073,-15.5881,6.0851,31.901,49.3784
0.0732,-6.192,15.3745,41.1631,58.6464
0.0734,3.229,24.6892,50.4505,67.9394
0.0736,12.6376,33.992,59.7258,77.2202
0.0738,21.9966,43.2459,68.952,86.4518
0.074,31.2693,52.4138,78.0921,95.5971
0.0742,40.4189,61.4591,87.1095,104.6197
0.0744,49.4093,70.3458,95.9681,113.4832
0.0746,58.2051,79.0383,104.6324,122.1524
0.0748,66.7715,87.502,113.0676,130.5924
0.075,75.0747,95.7029,121.24,138.7695
0.0752,83.0819,103.6084,129.1169,146.6508
0.0754,90.7616,111.1868,136.6664,154.2048
0.0756,98.0834,118.4078,143.8585,161.4011
0.0758,105.0184,125.2425,150.6641,168.2109
0.076,111.5393,131.6635,157.0559,174.6067
0.0762,117.6202,137.6451,163.0081,180.5628
0.0764,123.2373,143.1632,168.4968,186.0553
0.0766,128.3683,148.1958,173.4998,191.0619
0.0768,132.9929,152.7225,177.9967,195.5624
0.077,137.093,156.725,181.9694,199.5386
0.0772,140.6522,160.1873,185.4017,202.9742
0.0774,143.6567,163.0952,188.2795,205.8552
0.0776,146.0944,165.4369,190.5909,208.1697
0.0778,147.9558,167.2027,192.3264,209.9081
0.078,149.2336,168.3853,193.4785,211.0631
0.0782,149.9226,168.9796,194.0422,211.6296
0.0784,150.0202,168.983,194.0149,211.6049
0.0786,149.526,168.395,193.396,210.9885
0.0788,148.4419,167.2175,192.1876,209.7826
0.079,146.7722,165.4549,190.394,207.9912
0.0792,144.5234,163.1137,188.0216,205.621
0.0794,141.7045,160.2028,185.0794,202.6809
0.0796,138.3266,156.7334,181.5786,199.182
0.0798,134.403,152.7186,177.5323,195.1376
0.08,129.9491,148.1741,172.9562,190.5632
0.0802,124.9826,143.1173,167.8677,185.4764
0.0804,119.523,137.568,162.2866,179.8967
0.0806,113.5919,131.5475,156.2342,173.8458
0.0808,107.2127,125.0794,149.7341,167.347
0.081,100.4106,118.1888,142.8113,160.4254
0.0812,93.2123,110.9025,135.4928,153.108
0.0814,85.6464,103.2489,127.8069,145.4231
0.0816,77.7426,95.2579,119.7835,137.4006
0.0818,69.5322,86.9607,111.4538,129.0717
0.082,61.0476,78.3897,102.8502,120.4688
0.0822,52.3222,69.5783,94.0062,111.6253
0.0824,43.3904,60.5611,84.9561,102.5757
0.0826,34.2875,51.3731,75.7353,93.3552
0.0828,25.0495,42.0504,66.3796,83.9998
0.083,15.7128,32.6294,56.9255,74.5459
0.0832,6.3142,23.1469,47.4099,65.0304
0.0834,-3.1091,13.6401,37.8699,55.4903
0.0836,-12.5201,4.1461,28.3426,45.9628
0.0838,-21.8815,-5.298,18.8651,36.4851
0.084,-31.1564,-14.6551,9.4745,27.0942
0.0842,-40.3082,-23.8888,0.2072,17.8265
0.0844,-49.3008,-32.9629,-8.9005,8.7183
0.0846,-58.0987,-41.8418,-17.8132,-0.1951
0.0848,-66.6673,-50.491,-26.4961,-8.8787
0.085,-74.9725,-58.8765,-34.9155,-17.299
0.0852,-82.9818,-66.9657,-43.0386,-25.423
0.0854,-90.6635,-74.7268,-50.8338,-33.2192
0.0856,-97.9872,-82.1297,-58.2707,-40.6572
0.0858,-104.9241,-89.1453,-65.3205,-47.7083
0.086,-111.4469,-95.7464,-71.9558,-54.3448
0.0862,-117.5297,-101.9071,-78.1509,-60.5413
0.0864,-123.1485,-107.6035,-83.8816,-66.2736
0.0866,-128.2812,-112.8134,-89.126,-71.5195
0.0868,-132.9076,-117.5166,-93.8637,-76.2588
0.087,-137.0093,-121.6947,-98.0764,-80.4734
0.0872,-140.5703,-125.3317,-101.748,-84.1468
0.0874,-143.5763,-128.4134,-104.8645,-87.2652
0.0876,-146.0157,-130.9281,-107.4139,-89.8167
0.0878,-147.8786,-132.866,-109.3867,-91.7916
0.088,-149.1579,-134.2199,-110.7754,-93.1826
0.0882,-149.8485,-134.9846,-111.5751,-93.9846
0.0884,-149.9476,-135.1575,-111.7831,-94.1949
0.0886,-149.4548,-134.7382,-111.3988,-93.8132
0.0888,-148.3721,-133.7286,-110.4244,-92.8413
0.089,-146.7037,-132.133,-108.864,-91.2836
0.0892,-144.4563,-129.958,-106.7242,-89.1466
0.0894,-141.6388,-127.2125,-104.014,-86.4392
0.0896,-138.2621,-123.9076,-100.7444,-83.1726
0.0898,-134.3398,-120.0565,-96.9288,-79.36
0.09,-129.8872,-115.6749,-92.5826,-75.0169
0.0902,-124.9219,-110.7803,-87.7235,-70.1609
0.0904,-119.4635,-105.3922,-82.371,-64.8117
0.0906,-113.5336,-99.5322,-76.5466,-58.9907
0.0908,-107.1555,-93.2238,-70.2738,-52.7213
0.091,-100.3545,-86.492,-63.5778,-46.0288
0.0912,-93.1574,-79.3638,-56.4853,-38.94
0.0914,-85.5926,-71.8675,-49.0249,-31.4832
0.0916,-77.6899,-64.0331,-41.2263,-23.6883
0.0918,-69.4805,-55.8916,-33.1207,-15.5866
0.092,-60.9969,-47.4756,-24.7406,-7.2104
0.0922,-52.2724,-38.8184,-16.1194,1.4068
0.0924,-43.3417,-29.9545,-7.2915,10.2305
0.0926,-34.2398,-20.9192,1.7077,19.2256
0.0928,-25.0027,-11.7484,10.8425,28.3561
0.093,-15.6669,-2.4785,20.0762,37.5855
0.0932,-6.2693,6.8536,29.3721,46.877
0.0934,3.1532,16.2108,38.6931,56.1935
0.0936,12.5633,25.5559,48.002,65.4978
0.0938,21.9238,34.8518,57.2616,74.7528
0.094,31.1979,44.0616,66.4351,83.9215
0.0942,40.3489,53.1486,75.4857,92.9674
0.0944,49.3407,62.0767,84.3775,101.8542
0.0946,58.1379,70.8105,93.0748,110.5466
0.0948,66.7056,79.3152,101.543,119.0098
0.095,75.0101,87.557,109.7483,127.21
0.0952,83.0186,95.5031,117.6579,135.1145
0.0954,90.6996,103.1219,125.2402,142.6915
0.0956,98.0226,110.3831,132.4649,149.9108
0.0958,104.9588,117.2578,139.303,156.7435
0.096,111.4809,123.7186,145.7272,163.1623
0.0962,117.563,129.7399,151.7118,169.1413
0.0964,123.1812,135.2974,157.2327,174.6566
0.0966,128.3132,140.3692,162.2677,179.686
0.0968,132.939,144.935,166.7967,184.2092
0.097,137.0401,148.9764,170.8014,188.208
0.0972,140.6004,152.4773,174.2655,191.6663
0.0974,143.6059,155.4236,177.1751,194.5698
0.0976,146.0446,157.8036,179.5182,196.9069
0.0978,147.907,159.6074,181.2852,198.6678
0.098,149.1858,160.8279,182.4689,199.8453
0.0982,149.8758,161.46,183.064,200.4342
