time(s),correct_value
0.2156,-140.2239
0.2158,-136.6025
0.216,-132.4421
0.2162,-127.759
0.2164,-122.5717
0.2166,-116.9007
0.2168,-110.7683
0.217,-104.1988
0.2172,-97.218
0.2174,-89.8535
0.2176,-82.1345
0.2178,-74.0913
0.218,-65.7557
0.2182,-57.1606
0.2184,-48.3399
0.2186,-39.3284
0.2188,-30.1617
0.219,-20.876
0.2192,-11.5079
0.2194,-2.0943
0.2196,7.3275
0.2198,16.7203
0.22,26.0472
0.2202,35.2713
0.2204,44.3562
0.2206,53.266
0.2208,61.9657
0.221,70.4207
0.2212,78.5979
0.2214,86.4648
0.2216,93.9906
0.2218,101.1454
0.222,107.901
0.2222,114.2307
0.2224,120.1097
0.2226,125.5146
0.2228,130.4242
0.223,134.8191
0.2232,138.6819
0.2234,141.9974
0.2236,144.7525
0.2238,146.9363
0.224,148.5402
0.2242,149.5579
0.2244,149.9854
0.2246,149.8209
0.2248,149.0652
0.225,147.7212
0.2252,145.7942
0.2254,143.2918
0.2256,140.2239
0.2258,136.6025
0.226,132.4421
0.2262,127.759
0.2264,122.5717
0.2266,116.9007
0.2268,110.7683
0.227,104.1988
0.2272,97.218
0.2274,89.8535
0.2276,82.1345
0.2278,74.0913
0.228,65.7557
0.2282,57.1606
0.2284,48.3399
0.2286,39.3284
0.2288,30.1617
0.229,20.876
0.2292,11.5079
0.2294,2.0943
0.2296,-7.3275
0.2298,-16.7203
0.23,-26.0472
0.2302,-35.2713
0.2304,-44.3562
0.2306,-53.266
0.2308,-61.9657
0.231,-70.4207
0.2312,-78.5979
0.2314,-86.4648
0.2316,-93.9906
0.2318,-101.1454
0.232,-107.901
0.2322,-114.2307
0.2324,-120.1097
0.2326,-125.5146
0.2328,-130.4242
0.233,-134.8191
0.2332,-138.6819
0.2334,-141.9974
0.2336,-144.7525
0.2338,-146.9363
0.234,-148.5402
0.2342,-149.5579
0.2344,-149.9854
0.2346,-149.8209
0.2348,-149.0652
0.235,-147.7212
0.2352,-145.7942
0.2354,-143.2918
0.2356,-140.2239
0.2358,-136.6025
0.236,-132.4421
0.2362,-127.759
0.2364,-122.5717
0.2366,-116.9007
0.2368,-110.7683
0.237,-104.1988
0.2372,-97.218
0.2374,-89.8535
0.2376,-82.1345
0.2378,-74.0913
0.238,-65.7557
0.2382,-57.1606
0.2384,-48.3399
0.2386,-39.3284
0.2388,-30.1617
0.239,-20.876
0.2392,-11.5079
0.2394,-2.0943
0.2396,7.3275
0.2398,16.7203
0.24,26.0472
0.2402,35.2713
0.2404,44.3562
0.2406,53.266
0.2408,61.9657
0.241,70.4207
0.2412,78.5979
0.2414,86.4648
0.2416,93.9906
0.2418,101.1454
0.242,107.901
0.2422,114.2307
0.2424,120.1097
0.2426,125.5146
0.2428,130.4242
0.243,134.8191
0.2432,138.6819
0.2434,141.9974
0.2436,144.7525
0.2438,146.9363
0.244,148.5402
0.2442,149.5579
0.2444,149.9854
0.2446,149.8209
0.2448,149.0652
0.245,147.7212
0.2452,145.7942
0.2454,143.2918
0.2456,140.2239
0.2458,136.6025
0.246,132.4421
0.2462,127.759
0.2464,122.5717
0.2466,116.9007
0.2468,110.7683
0.247,104.1988
0.2472,97.218
0.2474,89.8535
0.2476,82.1345
0.2478,74.0913
0.248,65.7557
0.2482,57.1606
0.2484,48.3399
0.2486,39.3284
0.2488,30.1617
0.249,20.876
0.2492,11.5079
0.2494,2.0943
0.2496,-7.3275
0.2498,-16.7203
0.25,-26.0472
0.2502,-35.2713
0.2504,-44.3562
0.2506,-53.266
0.2508,-61.9657
0.251,-70.4207
0.2512,-78.5979
0.2514,-86.4648
0.2516,-93.9906
0.2518,-101.1454
0.252,-107.901
