time(s),10ms,40ms,70ms,100ms
0.0522,-113.4196,-73.5549,-43.0714,-25.2308
0.0524,-119.3147,-79.6367,-49.1534,-31.2876
0.0526,-124.7354,-85.2435,-54.7608,-36.87
0.0528,-129.6604,-90.3539,-59.8723,-41.9567
0.053,-134.0704,-94.9487,-64.4684,-46.5284
0.0532,-137.948,-99.0103,-68.5319,-50.5676
0.0534,-141.278,-102.5237,-72.0476,-54.0591
0.0536,-144.0473,-105.4756,-75.0022,-56.9899
0.0538,-146.2451,-107.8553,-77.385,-59.3491
0.054,-147.8627,-109.6542,-79.1874,-61.128
0.0542,-148.8938,-110.8658,-80.403,-62.3203
0.0544,-149.3345,-111.4863,-81.0277,-62.9221
0.0546,-149.1829,-111.5138,-81.06,-62.9316
0.0548,-148.4398,-110.9491,-80.5005,-62.3495
0.055,-147.1081,-109.7952,-79.3521,-61.1787
0.0552,-145.1933,-108.0574,-77.6201,-59.4246
0.0554,-142.7028,-105.7432,-75.3122,-57.0948
0.0556,-139.6465,-102.8626,-72.4383,-54.1991
0.0558,-136.0367,-99.4276,-69.0104,-50.7497
0.056,-131.8875,-95.4526,-65.0428,-46.7608
0.0562,-127.2153,-90.954,-60.552,-42.2489
0.0564,-122.0388,-85.9502,-55.5564,-37.2324
0.0566,-116.3783,-80.4619,-50.0766,-31.7319
0.0568,-110.2563,-74.5112,-44.1348,-25.7697
0.057,-103.6969,-68.1225,-37.7554,-19.3699
0.0572,-96.726,-61.3216,-30.9642,-12.5587
0.0574,-89.3713,-54.1362,-23.7888,-5.3634
0.0576,-81.6618,-46.5953,-16.2582,2.1869
0.0578,-73.628,-38.7294,-8.403,10.0616
0.058,-65.3015,-30.5701,-0.2548,18.2291
0.0582,-56.7154,-22.1505,8.1535,26.6564
0.0584,-47.9035,-13.5044,16.7878,35.3096
0.0586,-38.9007,-4.6667,25.6135,44.154
0.0588,-29.7425,4.3271,34.5949,53.1539
0.059,-20.465,13.4408,43.6959,62.2731
0.0592,-11.1051,22.6378,52.8797,71.4751
0.0594,-1.6995,31.881,62.1096,80.7228
0.0596,7.7145,41.1334,71.3482,89.9792
0.0598,17.0997,50.3576,80.5584,99.2069
0.06,26.419,59.5168,89.7032,108.369
0.0602,35.6358,68.5739,98.7456,117.4286
0.0604,44.7134,77.4927,107.6494,126.3493
0.0606,53.6162,86.2373,116.3787,135.0953
0.0608,62.3089,94.7724,124.8982,143.6315
0.061,70.7572,103.0639,133.1738,151.9234
0.0612,78.9277,111.0782,141.1719,159.9377
0.0614,86.7881,118.7832,148.8603,167.6421
0.0616,94.3074,126.1477,156.208,175.0057
0.0618,101.4559,133.1421,163.1853,181.9986
0.062,108.2054,139.7382,169.7639,188.5926
0.0622,114.5291,145.9092,175.9172,194.7612
0.0624,120.4022,151.6301,181.6201,200.4792
0.0626,125.8013,156.8778,186.8496,205.7236
0.0628,130.7052,161.631,191.5842,210.4729
0.063,135.0946,165.8702,195.8046,214.7079
0.0632,138.9519,169.5782,199.4934,218.4111
0.0634,142.262,172.7396,202.6353,221.5672
0.0636,145.0119,175.3413,205.2174,224.1633
0.0638,147.1906,177.3726,207.2287,226.1885
0.064,148.7894,178.8247,208.6606,227.6341
0.0642,149.8022,179.6913,209.5068,228.4937
0.0644,150.2248,179.9685,209.7632,228.7635
0.0646,150.0556,179.6545,209.4282,228.4416
0.0648,149.2953,178.75,208.5024,227.5288
0.065,147.9467,177.2579,206.9888,226.028
0.0652,146.0152,175.1836,204.8927,223.9446
0.0654,143.5084,172.5346,202.2217,221.286
0.0656,140.4362,169.3209,198.9857,218.0623
0.0658,136.8107,165.5544,195.1967,214.2855
0.066,132.6462,161.2496,190.8691,209.9698
0.0662,127.9591,156.4228,186.0193,205.1318
0.0664,122.7678,151.0926,180.6658,199.7899
0.0666,117.0929,145.2793,174.829,193.9646
0.0668,110.9567,139.0054,168.5314,187.6783
0.067,104.3834,132.295,161.797,180.955
0.0672,97.399,125.1741,154.6519,173.8209
0.0674,90.0309,117.6702,147.1236,166.3034
0.0676,82.3084,109.8124,139.2412,158.4316
0.0678,74.2617,101.6312,131.035,150.236
0.068,65.9227,93.1582,122.537,141.7482
0.0682,57.3243,84.4264,113.7798,133.0013
0.0684,48.5004,75.4697,104.7976,124.029
0.0686,39.4857,66.3229,95.625,114.8663
0.0688,30.3159,57.0216,86.2977,105.5487
0.069,21.0271,47.6019,76.8519,96.1124
0.0692,11.656,38.1005,67.324,86.5939
0.0694,2.2396,28.5544,57.7513,77.0304
0.0696,-7.1851,19.0006,48.1707,67.4589
0.0698,-16.5808,9.4764,38.6195,57.9166
0.07,-25.9104,0.0189,29.1347,48.4406
0.0702,-35.1372,-9.3352,19.7532,39.0677
0.0704,-44.2248,-18.5495,10.5113,29.8342
0.0706,-53.1372,-27.588,1.4449,20.7762
0.0708,-61.8394,-36.4157,-7.4108,11.9286
0.071,-70.297,-44.9982,-16.0215,3.3259
0.0712,-78.4766,-53.3022,-24.3539,-4.9986
0.0714,-86.3459,-61.2953,-32.3756,-13.0126
0.0716,-93.874,-68.9465,-40.0557,-20.6851
0.0718,-101.0311,-76.2262,-47.3643,-27.9863
0.072,-107.789,-83.1061,-54.2734,-34.8881
0.0722,-114.121,-89.5596,-60.7561,-41.3638
0.0724,-120.0021,-95.5616,-66.7877,-47.3883
0.0726,-125.4092,-101.089,-72.3447,-52.9386
0.0728,-130.3209,-106.1204,-77.406,-57.9932
0.073,-134.7178,-110.6365,-81.9522,-62.5328
0.0732,-138.5826,-114.6199,-85.9658,-66.54
0.0734,-141.9,-118.0554,-89.4317,-69.9996
0.0736,-144.657,-120.9299,-92.3367,-72.8985
0.0738,-146.8427,-123.2325,-94.6701,-75.2259
0.074,-148.4485,-124.9546,-96.4231,-76.9731
0.0742,-149.468,-126.09,-97.5895,-78.1338
0.0744,-149.8973,-126.6345,-98.1653,-78.704
0.0746,-149.7346,-126.5865,-98.1487,-78.682
0.0748,-148.9805,-125.9466,-97.5404,-78.0684
0.075,-147.6382,-124.7179,-96.3433,-76.8662
0.0752,-145.7128,-122.9056,-94.5629,-75.0807
0.0754,-143.212,-120.5174,-92.2067,-72.7196
0.0756,-140.1457,-117.5631,-89.2845,-69.7927
0.0758,-136.526,-114.0548,-85.8086,-66.3121
0.076,-132.3671,-110.0068,-81.7931,-62.2922
0.0762,-127.6855,-105.4356,-77.2545,-57.7492
0.0764,-122.4996,-100.3597,-72.2113,-52.7018
0.0766,-116.83,-94.7994,-66.6839,-47.1704
0.0768,-110.699,-88.7773,-60.6948,-41.1773
0.077,-104.1308,-82.3174,-54.2681,-34.7468
0.0772,-97.1514,-75.4458,-47.4298,-27.9048
0.0774,-89.7883,-68.1899,-40.2074,-20.6788
0.0776,-82.0705,-60.5789,-32.63,-13.098
0.0778,-74.0286,-52.6432,-24.728,-5.1927
0.078,-65.6942,-44.4146,-16.5332,3.0052
0.0782,-57.1003,-35.9259,-8.0786,11.463
0.0784,-48.2808,-27.2111,0.6021,20.1466
0.0786,-39.2705,-18.305,9.474,29.0212
0.0788,-30.105,-9.2432,18.5014,38.0513
0.079,-20.8204,-0.0618,27.6483,47.2008
0.0792,-11.4533,9.2025,36.878,56.4328
0.0794,-2.0409,18.5128,46.1534,65.7106
0.0796,7.3798,27.8318,55.4376,74.9969
0.0798,16.7717,37.1224,64.6932,84.2546
0.08,26.0975,46.3475,73.8832,93.4466
0.0802,35.3206,55.4704,82.9708,102.536
0.0804,44.4046,64.4545,91.9196,111.4865
0.0806,53.3134,73.2641,100.6938,120.2622
0.0808,62.0121,81.864,109.2581,128.828
0.081,70.4663,90.2198,117.5782,137.1494
0.0812,78.6425,98.2982,125.6208,145.1933
0.0814,86.5086,106.0669,133.3536,152.9272
0.0816,94.0335,113.4949,140.7456,160.3201
0.0818,101.1874,120.5524,147.767,167.3424
0.082,107.9422,127.2112,154.3896,173.9657
0.0822,114.2711,133.4447,160.5867,180.1635
0.0824,120.1493,139.2278,166.3334,185.9107
0.0826,125.5534,144.5374,171.6065,191.1842
0.0828,130.4623,149.3521,176.3845,195.9626
0.083,134.8564,153.6526,180.6483,200.2265
0.0832,138.7184,157.4214,184.3803,203.9586
0.0834,142.0332,160.6435,187.5654,207.1437
0.0836,144.7876,163.3055,190.1905,209.7686
0.0838,146.9707,165.3968,192.2447,211.8225
0.084,148.5739,166.9087,193.7193,213.2968
0.0842,149.591,167.8348,194.6081,214.1851
0.0844,150.0178,168.1711,194.9071,214.4834
0.0846,149.8527,167.9159,194.6145,214.1901
0.0848,149.0963,167.0699,193.7309,213.3058
0.085,147.7517,165.6361,192.2595,211.8334
0.0852,145.8241,163.6197,190.2054,209.7783
0.0854,143.3211,161.0284,187.5763,207.1481
0.0856,140.2526,157.8721,184.382,203.9526
0.0858,136.6307,154.1628,180.6347,200.2039
0.086,132.4698,149.9148,176.3487,195.9165
0.0862,127.7861,145.1445,171.5403,191.1065
0.0864,122.5983,139.8705,166.2281,185.7927
0.0866,116.9267,134.1132,160.4325,179.9953
0.0868,110.7938,127.8949,154.1759,173.7368
0.087,104.2237,121.24,147.4825,167.0415
0.0872,97.2425,114.1742,140.3783,159.9352
0.0874,89.8775,106.7252,132.8907,152.4454
0.0876,82.158,98.922,125.0489,144.6013
0.0878,74.1143,90.7951,116.8832,136.4333
0.088,65.7783,82.3761,108.4255,127.9731
0.0882,57.1827,73.6981,99.7087,119.2537
0.0884,48.3616,64.795,90.7666,110.3089
0.0886,39.3497,55.7014,81.634,101.1736
0.0888,30.1826,46.4531,72.3467,91.8834
0.089,20.8964,37.0861,62.9406,82.4743
0.0892,11.5279,27.6371,53.4524,72.9831
0.0894,2.114,18.1431,43.9193,63.4468
0.0896,-7.3082,8.6413,34.3781,53.9024
0.0898,-16.7015,-0.8312,24.8663,44.3872
0.09,-26.0287,-10.2373,15.4207,34.9382
0.0902,-35.2532,-19.5403,6.0783,25.5923
0.0904,-44.3384,-28.7036,-3.1245,16.3858
0.0906,-53.2486,-37.6915,-12.152,7.3546
0.0908,-61.9486,-46.4688,-20.9689,-1.4662
0.091,-70.404,-55.0012,-29.541,-10.0421
0.0912,-78.5815,-63.2553,-37.8347,-18.3399
0.0914,-86.4488,-71.1987,-45.818,-26.3272
0.0916,-93.9748,-78.8006,-53.4597,-33.9731
0.0918,-101.1299,-86.0311,-60.7301,-41.2478
0.092,-107.8858,-92.8621,-67.601,-48.1231
0.0922,-114.2159,-99.2669,-74.0458,-54.5723
0.0924,-120.0951,-105.2205,-80.0394,-60.5705
0.0926,-125.5004,-110.6997,-85.5587,-66.0944
0.0928,-130.4102,-115.6832,-90.5823,-71.1227
0.093,-134.8054,-120.1516,-95.0908,-75.6361
0.0932,-138.6685,-124.0875,-99.0669,-79.6171
0.0934,-141.9842,-127.4758,-102.4955,-83.0506
0.0936,-144.7396,-130.3033,-105.3632,-85.9235
0.0938,-146.9236,-132.5592,-107.6594,-88.2248
0.094,-148.5278,-134.2348,-109.3754,-89.946
0.0942,-149.5457,-135.3239,-110.5049,-91.0808
0.0944,-149.9735,-135.8223,-111.0437,-91.6251
0.0946,-149.8092,-135.7285,-110.9904,-91.5773
0.0948,-149.0537,-135.0431,-110.3454,-90.9379
0.095,-147.7099,-133.769,-109.1119,-89.71
0.0952,-145.7831,-131.9116,-107.295,-87.8989
0.0954,-143.281,-129.4784,-104.9025,-85.5122
0.0956,-140.2133,-126.4794,-101.9441,-82.5597
0.0958,-136.5922,-122.9266,-98.432,-79.0536
0.096,-132.432,-118.8344,-94.3805,-75.0082
0.0962,-127.7491,-114.2192,-89.806,-70.4399
0.0964,-122.562,-109.0994,-84.727,-65.3671
0.0966,-116.8911,-103.4956,-79.1639,-59.8103
0.0968,-110.7589,-97.4301,-73.1392,-53.792
0.097,-104.1896,-90.927,-66.677,-47.3363
0.0972,-97.209,-84.0125,-59.8033,-40.4691
0.0974,-89.8447,-76.7139,-52.5456,-33.2181
0.0976,-82.1258,-69.0604,-44.933,-25.6122
0.0978,-74.0828,-61.0824,-36.9959,-17.6819
0.098,-65.7474,-52.8116,-28.7661,-9.459
0.0982,-57.1524,-44.2811,-20.2765,-0.9764
0.0984,-48.3319,-35.5246,-11.5611,7.7321
0.0986,-39.3205,-26.5771,-2.6545,16.6315
0.0988,-30.154,-17.474,6.4075,25.6864
0.099,-20.8684,-8.2515,15.5889,34.8605
0.0992,-11.5005,1.0536,24.853,44.1173
0.0994,-2.0871,10.4045,34.1628,53.4197
0.0996,7.3346,19.764,43.4811,62.7306
0.0998,16.7273,29.0948,52.7708,72.0127
0.1,26.054,38.36,61.9949,81.2291
0.1002,35.278,47.5227,71.1164,90.343
0.1004,44.3628,56.5464,80.099,99.3178
0.1006,53.2725,65.3955,88.9069,108.1179
0.1008,61.972,74.0346,97.5048,116.7079
0.101,70.4269,82.4295,105.8585,125.0536
0.1012,78.6039,90.5467,113.9345,133.1216
0.1014,86.4708,98.3541,121.7007,140.8796
0.1016,93.9964,105.8205,129.1259,148.2966
0.1018,101.151,112.9163,136.1804,155.3429
0.102,107.9065,119.6132,142.8361,161.9902
0.1022,114.2362,125.8846,149.0662,168.2119
0.1024,120.1151,131.7054,154.8458,173.983
0.1026,125.5199,137.0525,160.1516,179.2803
0.1028,130.4294,141.9046,164.9624,184.0825
0.103,134.8242,146.2422,169.2587,188.3702
0.1032,138.6869,150.048,173.0232,192.126
0.1034,142.0022,153.3068,176.2407,195.3347
0.1036,144.7572,156.0055,178.8981,197.9832
0.1038,146.9409,158.1332,180.9845,200.0606
0.104,148.5448,159.6812,182.4913,201.5584
0.1042,149.5624,160.6434,183.4121,202.4702
0.1044,149.9898,161.0156,183.743,202.7919
0.1046,149.8252,160.7961,183.4822,202.522
0.1048,149.0694,159.9856,182.6305,201.6609
0.105,147.7253,158.5871,181.1907,200.2118
0.1052,145.7982,156.6059,179.1682,198.1799
0.1054,143.2957,154.0496,176.5706,195.5729
0.1056,140.2277,150.928,173.4077,192.4005
0.1058,136.6064,147.2534,169.6917,188.675
0.106,132.4459,143.0398,165.4369,184.4105
0.1062,127.7627,138.3039,160.6597,179.6236
0.1064,122.5753,133.064,155.3785,174.3326
0.1066,116.9042,127.3406,149.6139,168.5582
0.1068,110.7718,121.1561,143.3882,162.3226
0.107,104.2021,114.5348,136.7255,155.65
0.1072,97.2213,107.5025,129.652,148.5665
0.1074,89.8568,100.0867,122.195,141.0994
0.1076,82.1377,92.3166,114.3837,133.278
